#,,
int32,str,str
24,"TEXT_KINGKW303_05504_TODO_00","<If(LessThan(IntegerParameter(1),IntegerParameter(2)))>获取<Sheet(Item,50977,0)/><Else/>卸下<If(Equal(IntegerParameter(4),19))><Sheet(Item,50032,0)/>与
<Sheet(Item,50053,0)/><Else/><If(Equal(IntegerParameter(4),20))><Sheet(Item,50033,0)/><Else/><If(Equal(IntegerParameter(4),21))><Sheet(Item,50034,0)/><Else/><If(Equal(IntegerParameter(4),22))><Sheet(Item,50035,0)/><Else/><If(Equal(IntegerParameter(4),23))><Sheet(Item,50036,0)/><Else/><If(Equal(IntegerParameter(4),24))><Sheet(Item,50037,0)/><Else/><If(Equal(IntegerParameter(4),25))><Sheet(Item,50038,0)/><Else/><If(Equal(IntegerParameter(4),27))><Sheet(Item,50039,0)/><Else/><If(Equal(IntegerParameter(4),28))><Sheet(Item,50040,0)/><Else/><If(Equal(IntegerParameter(4),30))><Sheet(Item,50041,0)/><Else/><If(Equal(IntegerParameter(4),31))><Sheet(Item,50043,0)/><Else/><If(Equal(IntegerParameter(4),32))><Sheet(Item,50042,0)/><Else/><If(Equal(IntegerParameter(4),33))><Sheet(Item,50044,0)/><Else/><If(Equal(IntegerParameter(4),34))><Sheet(Item,50045,0)/><Else/><If(Equal(IntegerParameter(4),35))><Sheet(Item,50046,0)/><Else/><If(Equal(IntegerParameter(4),37))><Sheet(Item,50047,0)/><Else/><If(Equal(IntegerParameter(4),38))><Sheet(Item,50048,0)/><Else/><If(Equal(IntegerParameter(4),39))><Sheet(Item,50049,0)/><Else/><If(Equal(IntegerParameter(4),40))><Sheet(Item,50050,0)/><Else/><If(Equal(IntegerParameter(4),41))><Sheet(Item,50051,0)/><Else/><If(Equal(IntegerParameter(4),42))><Sheet(Item,50052,0)/><Else/></If></If></If></If></If></If></If></If></If></If></If></If></If></If></If></If></If></If></If></If></If>放入兵装库或背包
将<Sheet(Item,50977,0)/>交给多多库利</If>"
25,"TEXT_KINGKW303_05504_TODO_01",""
26,"TEXT_KINGKW303_05504_TODO_02",""
27,"TEXT_KINGKW303_05504_TODO_03",""
28,"TEXT_KINGKW303_05504_TODO_04",""
29,"TEXT_KINGKW303_05504_TODO_05",""
30,"TEXT_KINGKW303_05504_TODO_06",""
31,"TEXT_KINGKW303_05504_TODO_07",""
32,"TEXT_KINGKW303_05504_TODO_08",""
33,"TEXT_KINGKW303_05504_TODO_09",""
34,"TEXT_KINGKW303_05504_TODO_10",""
35,"TEXT_KINGKW303_05504_TODO_11",""
36,"TEXT_KINGKW303_05504_TODO_12",""
37,"TEXT_KINGKW303_05504_TODO_13",""
38,"TEXT_KINGKW303_05504_TODO_14",""
39,"TEXT_KINGKW303_05504_TODO_15",""
40,"TEXT_KINGKW303_05504_TODO_16",""
41,"TEXT_KINGKW303_05504_TODO_17",""
42,"TEXT_KINGKW303_05504_TODO_18",""
43,"TEXT_KINGKW303_05504_TODO_19",""
44,"TEXT_KINGKW303_05504_TODO_20",""
45,"TEXT_KINGKW303_05504_TODO_21",""
46,"TEXT_KINGKW303_05504_TODO_22",""
47,"TEXT_KINGKW303_05504_TODO_23",""
48,"TEXT_KINGKW303_05504_GEROLT_000_001","怎么样？这个演示足够展示幻境菜刀的性能了吧！"
49,"TEXT_KINGKW303_05504_BRIGID_000_005","呵呵，放任火焰继续燃烧下去虽然也不错，
但把周围一并引燃也不太好，只能暂且灭掉了。"
50,"TEXT_KINGKW303_05504_SYSTEM_000_010","要接受任务“幻境武器的真容”，
需持有或装备上<Sheet(Item,IntegerParameter(1),0)/>与<Sheet(Item,IntegerParameter(2),0)/>。"
51,"TEXT_KINGKW303_05504_SYSTEM_000_011","要接受任务“幻境武器的真容”，
需持有或装备上<Sheet(Item,IntegerParameter(1),0)/>。"
52,"TEXT_KINGKW303_05504_LYDIRCEIL_000_012","呼，火终于全都熄灭了……
这下终于能用幻境菜刀切断幻影，
让幻境武器发挥出更多的力量了。"
53,"TEXT_KINGKW303_05504_SYSTEM_000_013","在任务“幻境武器的真容”中将获得当前<If(LessThan(PlayerParameter(68),8))><Sheet(ClassJob,PlayerParameter(68),0)/><Else/><If(GreaterThan(PlayerParameter(68),18))><Sheet(ClassJob,PlayerParameter(68),0)/><Else/></If></If>特职的武器。
要以<If(LessThan(PlayerParameter(68),8))><Sheet(ClassJob,PlayerParameter(68),0)/><Else/><If(GreaterThan(PlayerParameter(68),18))><Sheet(ClassJob,PlayerParameter(68),0)/><Else/></If></If>接受该任务吗？"
54,"TEXT_KINGKW303_05504_Q1_000_000","要强化<If(LessThan(PlayerParameter(68),8))><Sheet(ClassJob,PlayerParameter(68),0)/><Else/><If(GreaterThan(PlayerParameter(68),18))><Sheet(ClassJob,PlayerParameter(68),0)/><Else/></If></If>的武器吗？"
55,"TEXT_KINGKW303_05504_A1_000_001","再考虑一下"
56,"TEXT_KINGKW303_05504_A1_000_002","强化<If(LessThan(PlayerParameter(68),8))><Sheet(ClassJob,PlayerParameter(68),0)/><Else/><If(GreaterThan(PlayerParameter(68),18))><Sheet(ClassJob,PlayerParameter(68),0)/><Else/></If></If>的武器"
57,"TEXT_KINGKW303_05504_SYSTEM_000_015","请转换为与所需武器相应的特职，
再次和利迪尔赛尔谈谈。"
58,"TEXT_KINGKW303_05504_LYDIRCEIL_000_016","那我们就快点开始吧。"
59,"TEXT_KINGKW303_05504_GEROLT_000_017","我也想赶快开始……
不过刚刚的试刀让我注意到一件事，
我想我们还是再花些功夫比较好。"
60,"TEXT_KINGKW303_05504_GEROLT_000_018","因为若只是单纯地用菜刀切断幻影，
武器中的以太似乎会出现一些偏差。"
61,"TEXT_KINGKW303_05504_GEROLT_000_019","要想防止这一点，就需要重新打造武器的核心部分，
将以太全都凝聚于这一处，
这样就能完美地使武器显露出原本的样子了。"
62,"TEXT_KINGKW303_05504_LYDIRCEIL_000_020","是说要强化的武器本身也需要一些准备？
我明白你的意思了，不过还要再增加工作量啊……"
63,"TEXT_KINGKW303_05504_GEROLT_000_021","你就不要抱怨了。
所幸需要的材料已经有眉目了。"
64,"TEXT_KINGKW303_05504_GEROLT_000_022","你知道调查队最近新发现的<Sheet(Item,50977,0)/>吗？
它很适合用来打造武器的核心，而且有3个就足够了。"
65,"TEXT_KINGKW303_05504_LYDIRCEIL_000_023","……抱歉又要麻烦你了，
和罗薇娜商会进行交易应该就能得到<Sheet(Item,50977,0)/>。
凑齐3个之后就请交给多多库利来处理吧。"
66,"TEXT_KINGKW303_05504_LYDIRCEIL_000_025","凑齐3个<Sheet(Item,50977,0)/>后就请交给多多库利吧。
盖罗尔特肯定是不会自己处理材料的。"
67,"TEXT_KINGKW303_05504_SYSTEM_000_030","可以在幻境村的尔密娜处交换<Sheet(Item,50977,0)/>。"
68,"TEXT_KINGKW303_05504_GEROLT_000_035","抱歉没有事先告诉你需要用到矿石，
因为我在试刀之前也没想到这一点，
实在没办法啊。"
69,"TEXT_KINGKW303_05504_BRIGID_000_040","我也认同盖罗尔特的想法。
好的工匠是不会忽视任何细节的！"
70,"TEXT_KINGKW303_05504_DODOKKULI_000_100","要为幻境武器打造新的核心对吧？
需要3个<Sheet(Item,50977,0)/>，你收集齐了吗？"
71,"TEXT_KINGKW303_05504_DODOKKULI_000_101","集齐<Sheet(Item,50977,0)/>了吗？
那就卸下幻境武器一起给我吧"
72,"TEXT_KINGKW303_05504_SYSTEM_000_102","交纳<Sheet(Item,50977,0)/>后，
会开始强化幻境武器。"
73,"TEXT_KINGKW303_05504_SYSTEM_000_103","强化后，镶嵌的魔晶石将会消失，
还请注意。"
74,"TEXT_KINGKW303_05504_DODOKKULI_000_104","谢谢，有这些就足够了，我这就开始加工，
加工好核心后，就可以让盖罗尔特组装在武器上……"
75,"TEXT_KINGKW303_05504_DODOKKULI_000_105","之后再用幻境菜刀切断幻影，
就能让幻境武器显露出原本样子了！"
76,"TEXT_KINGKW303_05504_GEROLT_000_106","很好，用<Sheet(Item,50977,0)/>打造的核心已经组装在了武器上。
这下幻影被切断后以太的效率也能维持在较高的水准了吧。"
77,"TEXT_KINGKW303_05504_GEROLT_000_107","是时候使用幻境菜刀来切断包裹住武器的幻影了！"
78,"TEXT_KINGKW303_05504_GEROLT_000_108","喝啊啊啊啊啊啊！"
79,"TEXT_KINGKW303_05504_GEROLT_000_109","成功了！
强化带来的提升效果还保持不变，只是剥除了碍事的幻影，
原本被抑制的性能如今已经完全得到了解放……"
80,"TEXT_KINGKW303_05504_GEROLT_000_110","这就是幻境武器真正的样子……
<Sheet(Item,IntegerParameter(1),0)/>！"
81,"TEXT_KINGKW303_05504_GEROLT_000_111","这就是幻境武器真正的样子……
<Sheet(Item,IntegerParameter(1),0)/>与
<Sheet(Item,IntegerParameter(2),0)/>！"
82,"TEXT_KINGKW303_05504_GEROLT_000_112","和我预想的一样，如今这把武器
已经成为了胜过之前所有武器的绝品！"
83,"TEXT_KINGKW303_05504_LYDIRCEIL_000_113","不断学习古代工匠的技术并积累至今，
最后还能有将其全部打破的大胆想法……
真不愧是当代第一名匠，锻造相关的知识和经验远超常人啊！"
84,"TEXT_KINGKW303_05504_GEROLT_000_114","当代第一名匠啊……"
85,"TEXT_KINGKW303_05504_GEROLT_000_115","要说使用武器，应该没有人比你更强了吧。
要不要干脆把你的记忆也附加到武器中？"
86,"TEXT_KINGKW303_05504_GEROLT_000_116","没听明白吗？我是说这把幻境武器还能变得更强哦！
既然已经强化到这个阶段了，不如干脆再彻底点吧！"
87,"TEXT_KINGKW303_05504_SYSTEM_000_117","今后可以在幻境村的多多库利处，
用<Sheet(Item,50977,0)/>强化不同职业的幻境武器。"
